frame_id,sample_arrival_ms,sample_send_ms,acked_bitrate_bps,offset,threshold,usage,target_bitrate_bps
180,21092215,21092215,22747200,-0.001777,6.000000,normal,23748735
181,21092248,21092248,22803200,-0.001697,6.000000,normal,23748735
182,21092282,21092282,22870400,0.011034,6.000000,normal,23748735
183,21092315,21092315,22926400,-0.002854,6.000000,normal,23748735
184,21092348,21092348,23307200,-0.002903,6.000000,normal,23748735
185,21092382,21092382,23060800,-0.002866,6.000000,normal,23748735
186,21092415,21092415,23116800,-0.002730,6.000000,normal,23748735
187,21092448,21092448,23150400,-0.002779,6.000000,normal,23748735
188,21092482,21092482,23184000,0.010353,6.000000,normal,24682308
189,21092515,21092515,23217600,-0.002935,6.000000,normal,24682308
190,21092548,21092548,23363200,-0.003049,6.000000,normal,24682308
191,21092582,21092582,23340800,0.010322,6.000000,normal,24682308
192,21092615,21092615,23408000,-0.001868,6.000000,normal,24682308
193,21092648,21092648,23464000,-0.001921,6.000000,normal,24682308
194,21092682,21092682,23531200,0.010331,6.000000,normal,24682308
195,21092715,21092715,23587200,-0.004484,6.000000,normal,24682308
196,21092749,21092748,23654400,-0.004655,6.000000,normal,24682308
197,21092782,21092782,23721600,0.010500,6.000000,normal,24682308
198,21092815,21092815,23788800,-0.002158,6.000000,normal,24682308
199,21092848,21092848,23844800,-0.002211,6.000000,normal,24682308
200,21092882,21092882,23912000,0.010511,6.000000,normal,24682308
201,21092915,21092915,23968000,-0.004533,6.000000,normal,24682308
202,21092948,21092948,24024000,-0.004470,6.000000,normal,24682308
203,21092982,21092982,24068800,0.008196,6.000000,normal,25715834
204,21093015,21093015,24091200,-0.006593,6.000000,normal,25715834
205,21093049,21093048,24158400,-0.007922,6.000000,normal,25715834
206,21093082,21093082,24225600,0.008257,6.000000,normal,25715834
207,21093115,21093115,24292800,-0.005105,6.000000,normal,25715834
208,21093149,21093148,24360000,-0.005032,6.000000,normal,25715834
209,21093182,21093182,24427200,0.010899,6.000000,normal,25715834
210,21093215,21093215,24494400,-0.002448,6.000000,normal,25715834
211,21093248,21093248,24662400,-0.002510,6.000000,normal,25715834
212,21093282,21093282,24628800,0.010932,6.000000,normal,25715834
213,21093315,21093315,24684800,-0.004969,6.000000,normal,25715834
214,21093348,21093348,24752000,-0.005087,6.000000,normal,25715834
215,21093382,21093382,24819200,-0.004790,6.000000,normal,25715834
216,21093415,21093415,24886400,-0.004908,6.000000,normal,25715834
217,21093448,21093448,24976000,-0.004616,6.000000,normal,25715834
218,21093482,21093482,25009600,0.009068,6.000000,normal,25715834
219,21093515,21093515,25043200,-0.006758,6.000000,normal,26792637
220,21093549,21093548,25312000,-0.007120,6.000000,normal,26792637
221,21093582,21093582,25155200,0.002724,6.000000,normal,26792637
222,21093615,21093615,25446400,-0.012971,6.000000,normal,26792637
223,21093649,21093648,25513600,-0.013717,6.000000,normal,26792637
224,21093682,21093682,25592000,0.001921,6.000000,normal,26792637
225,21093715,21093715,25435200,-0.013582,6.000000,normal,26792637
226,21093749,21093748,25726400,-0.012248,6.000000,normal,26792637
227,21093782,21093782,25793600,0.001209,6.000000,normal,26792637
